id_venda,data,id_cliente,id_vendedor,id_formapag,id_produto,quantidadeVendida,desconto,custoTotal,valorVendaBruta
128,2026-04-27,48,3,4,30,3,0.02,49.349999999999994,86.3625
129,2026-03-26,73,3,2,18,3,0.0,231.95999999999998,405.93
130,2026-05-16,34,2,4,9,4,0.05,8.6,15.049999999999999
131,2026-05-14,54,2,3,1,2,0.05,80.22,116.31899999999999
132,2026-07-25,35,2,1,8,2,0.04,4.5,6.5249999999999995
133,2026-06-12,71,2,3,19,4,0.0,18.16,31.78
134,2026-04-27,39,3,1,32,2,0.02,24.94,43.645
135,2026-06-23,35,2,2,22,4,0.01,29.8,52.15
136,2026-02-17,72,1,1,31,2,0.03,20.5,35.875
137,2026-05-14,66,2,3,2,4,0.04,272.6,395.27000000000004
138,2026-07-30,16,1,4,30,4,0.02,65.8,115.14999999999999
139,2026-08-07,69,3,1,32,3,0.04,37.410000000000004,65.4675
140,2026-02-19,68,2,2,26,1,0.05,13.75,24.0625
141,2026-02-05,77,2,1,19,2,0.02,9.08,15.89
142,2026-02-06,37,3,1,13,1,0.0,5.42,9.485
143,2026-05-30,14,3,1,28,2,0.0,15.04,26.32
144,2026-05-28,36,2,4,12,2,0.05,13.16,23.03
145,2026-03-25,89,2,3,31,4,0.03,41.0,71.75
146,2026-02-11,51,3,3,21,2,0.03,4.5,7.875
147,2026-06-01,30,1,1,15,2,0.02,23.16,40.53
148,2026-03-25,59,3,4,26,4,0.01,55.0,96.25
149,2026-06-16,27,2,1,9,1,0.04,2.15,3.7624999999999997
150,2026-07-13,21,1,2,17,4,0.0,261.8,458.15000000000003
151,2026-02-09,35,2,3,3,2,0.03,150.48,218.19599999999997
152,2026-03-17,76,1,1,14,1,0.02,8.45,14.787499999999998
153,2026-04-10,54,2,1,26,2,0.05,27.5,48.125
154,2026-06-12,81,3,4,16,4,0.02,216.6,379.05
155,2026-08-21,75,2,1,32,2,0.04,24.94,43.645
156,2026-03-27,63,3,2,3,3,0.01,225.71999999999997,327.294
157,2026-05-11,69,1,3,15,4,0.02,46.32,81.06
158,2026-05-26,96,2,2,7,4,0.04,58.0,84.1
159,2026-03-23,46,1,4,28,1,0.03,7.52,13.16
160,2026-05-11,52,3,2,12,1,0.04,6.58,11.515
161,2026-07-27,64,1,3,10,2,0.01,6.7,11.725
162,2026-05-05,30,2,3,30,2,0.02,32.9,57.574999999999996
163,2026-02-12,14,3,4,17,4,0.04,261.8,458.15000000000003
164,2026-05-28,55,3,3,18,3,0.02,231.95999999999998,405.93
165,2026-06-06,5,1,1,14,4,0.03,33.8,59.14999999999999
166,2026-02-10,63,1,3,34,2,0.04,19.78,34.615
167,2026-05-02,19,1,2,22,1,0.0,7.45,13.0375
168,2026-01-06,15,2,2,4,3,0.04,286.04999999999995,414.7725
169,2026-04-17,52,1,2,4,1,0.02,95.35,138.2575
170,2026-08-21,52,3,1,11,3,0.04,17.25,30.1875
171,2026-07-03,75,3,2,5,3,0.03,462.75,670.9875
172,2026-06-11,1,3,1,11,2,0.04,11.5,20.125
173,2026-07-13,93,2,1,29,3,0.04,25.56,44.730000000000004
174,2026-07-03,25,2,2,30,3,0.01,49.349999999999994,86.3625
175,2026-01-09,57,2,3,8,4,0.05,9.0,13.049999999999999
176,2026-03-27,35,2,1,6,2,0.02,3.08,4.466
177,2026-04-20,73,1,2,2,4,0.01,272.6,395.27000000000004
178,2026-04-07,33,2,1,29,1,0.01,8.52,14.91
179,2026-01-13,23,3,2,3,2,0.05,150.48,218.19599999999997
180,2026-07-31,49,3,2,1,1,0.01,40.11,58.159499999999994
181,2026-07-04,61,2,2,30,4,0.01,65.8,115.14999999999999
182,2026-04-07,49,1,3,31,1,0.04,10.25,17.9375
183,2026-06-01,89,3,3,29,1,0.0,8.52,14.91
184,2026-05-16,94,1,1,26,1,0.04,13.75,24.0625
185,2026-08-20,48,2,2,3,1,0.02,75.24,109.09799999999998
186,2026-03-09,29,1,3,2,1,0.01,68.15,98.81750000000001
187,2026-07-04,25,3,2,26,2,0.02,27.5,48.125
188,2026-06-02,79,2,3,30,2,0.04,32.9,57.574999999999996
189,2026-01-02,42,1,3,27,1,0.01,7.99,13.9825
190,2026-08-19,9,3,1,29,2,0.05,17.04,29.82
191,2026-08-13,19,3,3,28,2,0.02,15.04,26.32
192,2026-05-27,63,2,2,18,4,0.01,309.28,541.24
193,2026-03-07,14,3,1,22,2,0.0,14.9,26.075
194,2026-02-23,30,2,2,17,2,0.01,130.9,229.07500000000002
195,2026-06-25,46,2,4,21,4,0.03,9.0,15.75
196,2026-05-15,1,3,3,9,2,0.0,4.3,7.5249999999999995
197,2026-01-21,3,1,1,11,3,0.0,17.25,30.1875
198,2026-07-01,77,2,4,6,3,0.03,4.62,6.699
199,2026-02-11,81,1,2,14,1,0.01,8.45,14.787499999999998
200,2026-01-29,68,3,2,32,1,0.02,12.47,21.8225
201,2026-02-06,60,3,1,31,2,0.03,20.5,35.875
202,2026-04-02,96,1,1,26,3,0.03,41.25,72.1875
203,2026-04-28,75,1,4,34,3,0.03,29.67,51.9225
204,2026-02-14,24,2,2,19,3,0.01,13.620000000000001,23.835
205,2026-08-24,74,3,4,26,2,0.03,27.5,48.125
206,2026-08-28,88,2,1,15,3,0.04,34.74,60.795
207,2026-01-26,90,2,3,17,1,0.01,65.45,114.53750000000001
208,2026-07-11,3,3,1,3,1,0.03,75.24,109.09799999999998
209,2026-06-02,90,1,1,15,3,0.04,34.74,60.795
210,2026-08-18,40,1,1,18,2,0.03,154.64,270.62
211,2026-06-13,17,3,4,16,2,0.01,108.3,189.525
212,2026-01-01,94,2,3,18,2,0.04,154.64,270.62
213,2026-04-18,17,3,2,33,2,0.04,22.5,39.375
214,2026-04-29,55,1,3,26,3,0.03,41.25,72.1875
215,2026-01-23,22,1,3,1,2,0.02,80.22,116.31899999999999
216,2026-01-16,80,1,2,21,2,0.05,4.5,7.875
217,2026-08-08,63,3,2,11,3,0.05,17.25,30.1875
218,2026-01-16,13,2,3,33,4,0.01,45.0,78.75
219,2026-08-06,4,3,2,4,1,0.0,95.35,138.2575
220,2026-06-13,38,3,4,2,1,0.01,68.15,98.81750000000001
221,2026-01-13,4,2,2,9,4,0.05,8.6,15.049999999999999
222,2026-03-13,13,2,3,7,3,0.01,43.5,63.074999999999996
223,2026-08-18,72,2,1,15,3,0.0,34.74,60.795
224,2026-06-04,25,3,1,27,2,0.05,15.98,27.965
225,2026-08-11,44,3,3,6,2,0.03,3.08,4.466
226,2026-08-17,98,3,1,16,3,0.02,162.45,284.2875
227,2026-05-20,17,1,3,34,4,0.04,39.56,69.23
228,2026-06-16,23,1,3,33,2,0.01,22.5,39.375
229,2026-02-18,76,2,4,34,3,0.04,29.67,51.9225
230,2026-06-08,10,2,1,14,2,0.03,16.9,29.574999999999996
231,2026-04-16,44,3,3,23,3,0.02,46.769999999999996,81.8475
232,2026-03-05,31,1,3,15,4,0.05,46.32,81.06
233,2026-06-15,81,3,4,19,2,0.02,9.08,15.89
234,2026-03-28,30,3,2,27,3,0.02,23.97,41.9475
235,2026-08-12,38,3,2,13,3,0.01,16.259999999999998,28.455
236,2026-03-09,46,2,3,22,4,0.02,29.8,52.15
237,2026-02-18,58,1,1,22,4,0.03,29.8,52.15
238,2026-03-25,96,1,2,14,3,0.04,25.349999999999998,44.3625
239,2026-08-08,78,2,3,4,4,0.04,381.4,553.03
240,2026-05-08,48,3,3,13,1,0.03,5.42,9.485
241,2026-08-03,60,1,3,23,4,0.0,62.36,109.13
242,2026-06-26,37,1,1,6,3,0.01,4.62,6.699
243,2026-08-12,13,2,1,10,1,0.03,3.35,5.8625
244,2026-03-31,27,1,2,6,3,0.05,4.62,6.699
245,2026-05-13,76,1,3,21,2,0.03,4.5,7.875
246,2026-03-04,28,3,2,17,1,0.0,65.45,114.53750000000001
247,2026-01-06,53,2,2,34,2,0.02,19.78,34.615
248,2026-01-27,49,1,2,3,1,0.03,75.24,109.09799999999998
249,2026-01-10,79,3,1,17,2,0.05,130.9,229.07500000000002
250,2026-08-13,75,2,3,23,2,0.02,31.18,54.565
251,2026-03-06,14,2,3,17,1,0.01,65.45,114.53750000000001
252,2026-05-20,44,1,3,29,3,0.05,25.56,44.730000000000004
253,2026-08-08,59,3,1,23,3,0.02,46.769999999999996,81.8475
254,2026-04-27,12,2,4,30,1,0.0,16.45,28.787499999999998
255,2026-06-17,4,3,4,6,4,0.01,6.16,8.932
256,2026-07-04,84,3,2,31,2,0.01,20.5,35.875
257,2026-02-05,88,3,1,23,2,0.0,31.18,54.565
258,2026-04-27,32,1,3,27,2,0.01,15.98,27.965
259,2026-05-14,82,2,1,7,4,0.02,58.0,84.1
260,2026-06-09,87,1,2,14,1,0.0,8.45,14.787499999999998
261,2026-05-05,96,2,2,12,2,0.01,13.16,23.03
262,2026-05-25,7,3,1,26,1,0.04,13.75,24.0625
263,2026-03-10,62,2,4,7,2,0.02,29.0,42.05
264,2026-04-11,67,3,1,27,4,0.03,31.96,55.93
265,2026-06-30,99,2,1,3,1,0.01,75.24,109.09799999999998
266,2026-05-01,75,1,3,2,4,0.02,272.6,395.27000000000004
267,2026-05-27,12,3,4,30,4,0.02,65.8,115.14999999999999
268,2026-02-26,39,3,3,14,2,0.04,16.9,29.574999999999996
269,2026-03-14,16,3,4,29,4,0.04,34.08,59.64
270,2026-03-17,78,1,2,2,2,0.0,136.3,197.63500000000002
271,2026-04-09,62,3,3,7,2,0.01,29.0,42.05
272,2026-04-17,98,3,4,12,2,0.02,13.16,23.03
273,2026-01-13,24,3,1,21,2,0.01,4.5,7.875
274,2026-03-05,50,1,1,14,3,0.03,25.349999999999998,44.3625
275,2026-02-11,29,1,3,27,4,0.03,31.96,55.93
276,2026-08-03,57,1,4,30,1,0.03,16.45,28.787499999999998
277,2026-06-18,11,1,1,29,4,0.02,34.08,59.64
278,2026-07-04,50,3,2,9,4,0.03,8.6,15.049999999999999
279,2026-03-30,35,1,1,9,4,0.01,8.6,15.049999999999999
280,2026-02-10,98,3,2,17,2,0.01,130.9,229.07500000000002
281,2026-03-19,80,3,4,19,3,0.02,13.620000000000001,23.835
282,2026-08-03,91,1,1,34,3,0.03,29.67,51.9225
283,2026-04-07,7,2,4,29,1,0.02,8.52,14.91
284,2026-05-22,14,2,3,18,3,0.01,231.95999999999998,405.93
285,2026-04-01,9,2,4,28,3,0.01,22.56,39.480000000000004
286,2026-05-01,47,2,2,18,1,0.01,77.32,135.31
287,2026-03-30,36,3,1,20,1,0.02,4.75,8.3125
288,2026-08-21,66,1,1,11,1,0.02,5.75,10.0625
289,2026-05-21,86,2,1,13,2,0.02,10.84,18.97
290,2026-05-29,76,3,2,8,1,0.01,2.25,3.2624999999999997
291,2026-01-20,95,3,4,13,2,0.04,10.84,18.97
292,2026-07-09,49,2,4,3,1,0.04,75.24,109.09799999999998
293,2026-03-27,32,1,4,4,1,0.04,95.35,138.2575
294,2026-01-01,26,1,4,15,2,0.04,23.16,40.53
295,2026-01-09,43,1,4,24,2,0.02,24.9,43.574999999999996
296,2026-02-26,61,2,3,20,3,0.01,14.25,24.9375
297,2026-06-18,61,2,2,13,3,0.01,16.259999999999998,28.455
298,2026-07-06,45,3,4,13,3,0.0,16.259999999999998,28.455
299,2026-08-12,94,2,2,7,3,0.01,43.5,63.074999999999996
300,2026-07-31,82,1,2,6,4,0.02,6.16,8.932
301,2026-03-07,13,2,1,23,3,0.04,46.769999999999996,81.8475
302,2026-02-09,54,2,1,19,2,0.02,9.08,15.89
303,2026-01-17,16,3,3,13,2,0.02,10.84,18.97
304,2026-07-28,39,1,2,3,2,0.01,150.48,218.19599999999997
305,2026-07-24,61,1,2,32,3,0.04,37.410000000000004,65.4675
306,2026-01-05,28,2,1,16,3,0.04,162.45,284.2875
307,2026-06-23,84,3,1,3,3,0.0,225.71999999999997,327.294
308,2026-03-17,30,1,3,34,4,0.01,39.56,69.23
309,2026-04-08,36,1,1,5,1,0.01,154.25,223.6625
310,2026-08-24,51,2,2,27,3,0.01,23.97,41.9475
311,2026-02-26,2,2,2,23,4,0.0,62.36,109.13
312,2026-07-22,8,2,2,34,2,0.05,19.78,34.615
313,2026-01-01,23,3,2,27,1,0.0,7.99,13.9825
314,2026-01-27,83,2,3,22,1,0.04,7.45,13.0375
315,2026-07-09,44,1,4,4,3,0.04,286.04999999999995,414.7725
316,2026-02-18,27,3,2,1,3,0.01,120.33,174.4785
317,2026-01-21,65,1,3,33,4,0.04,45.0,78.75
318,2026-02-04,47,1,4,15,2,0.01,23.16,40.53
319,2026-06-11,70,2,3,4,3,0.02,286.04999999999995,414.7725
320,2026-02-23,70,3,4,4,3,0.01,286.04999999999995,414.7725
321,2026-07-10,71,1,1,16,4,0.05,216.6,379.05
322,2026-02-20,18,1,3,20,2,0.05,9.5,16.625
323,2026-04-21,1,2,4,19,4,0.01,18.16,31.78
324,2026-01-21,40,3,1,30,2,0.05,32.9,57.574999999999996
325,2026-07-13,50,1,3,10,3,0.02,10.05,17.5875
326,2026-01-02,65,2,2,31,2,0.0,20.5,35.875
327,2026-03-12,77,1,2,29,1,0.03,8.52,14.91
328,2026-06-08,20,3,2,7,1,0.01,14.5,21.025
329,2026-08-31,23,2,1,33,1,0.04,11.25,19.6875
330,2026-01-16,55,1,3,21,3,0.03,6.75,11.8125
331,2026-06-06,8,3,4,17,1,0.05,65.45,114.53750000000001
332,2026-06-09,44,1,2,11,3,0.0,17.25,30.1875
333,2026-01-03,8,3,2,8,1,0.04,2.25,3.2624999999999997
334,2026-01-06,34,3,3,7,2,0.01,29.0,42.05
335,2026-06-25,72,2,1,12,1,0.0,6.58,11.515
336,2026-04-10,13,3,2,27,3,0.01,23.97,41.9475
337,2026-03-16,90,1,1,7,3,0.01,43.5,63.074999999999996
338,2026-08-14,85,2,2,23,1,0.04,15.59,27.2825
339,2026-03-07,53,2,2,9,3,0.03,6.449999999999999,11.2875
340,2026-01-09,64,1,2,32,3,0.03,37.410000000000004,65.4675
341,2026-07-01,36,1,2,10,2,0.04,6.7,11.725
342,2026-02-18,78,2,4,20,3,0.04,14.25,24.9375
343,2026-01-07,93,1,2,8,4,0.01,9.0,13.049999999999999
344,2026-08-25,55,3,4,20,4,0.0,19.0,33.25
345,2026-06-13,45,3,1,8,4,0.02,9.0,13.049999999999999
346,2026-08-18,85,2,3,11,4,0.03,23.0,40.25
347,2026-06-03,61,3,3,14,4,0.02,33.8,59.14999999999999
348,2026-06-26,29,3,2,7,1,0.03,14.5,21.025
349,2026-03-13,76,2,4,11,4,0.01,23.0,40.25
350,2026-08-07,33,2,1,23,1,0.04,15.59,27.2825
351,2026-08-13,45,1,3,34,4,0.03,39.56,69.23
352,2026-07-20,98,1,2,8,2,0.04,4.5,6.5249999999999995
353,2026-02-12,92,2,2,3,2,0.05,150.48,218.19599999999997
354,2026-04-14,78,2,4,7,3,0.04,43.5,63.074999999999996
355,2026-04-13,63,3,3,24,1,0.02,12.45,21.787499999999998
356,2026-08-13,56,1,1,16,3,0.01,162.45,284.2875
357,2026-05-29,47,3,1,10,4,0.02,13.4,23.45
358,2026-02-19,97,1,4,17,1,0.04,65.45,114.53750000000001
359,2026-02-28,97,2,1,15,3,0.05,34.74,60.795
360,2026-02-26,13,2,3,12,2,0.03,13.16,23.03
361,2026-07-28,41,3,3,31,4,0.05,41.0,71.75
362,2026-03-19,60,2,1,30,4,0.03,65.8,115.14999999999999
363,2026-02-04,18,1,2,16,3,0.02,162.45,284.2875
364,2026-08-14,64,2,1,16,3,0.01,162.45,284.2875
365,2026-04-10,19,1,2,6,3,0.02,4.62,6.699
366,2026-06-27,35,1,2,1,1,0.03,40.11,58.159499999999994
367,2026-06-18,47,2,4,27,3,0.01,23.97,41.9475
368,2026-05-11,12,1,2,12,4,0.0,26.32,46.06
369,2026-03-02,16,2,4,7,3,0.04,43.5,63.074999999999996
370,2026-06-18,86,2,1,21,3,0.03,6.75,11.8125
371,2026-05-13,13,1,3,33,1,0.02,11.25,19.6875
372,2026-02-05,92,2,2,9,3,0.0,6.449999999999999,11.2875
373,2026-04-08,81,1,2,24,4,0.04,49.8,87.14999999999999
374,2026-01-07,3,1,3,18,2,0.02,154.64,270.62
375,2026-07-21,26,2,2,27,1,0.03,7.99,13.9825
376,2026-04-09,65,3,4,8,2,0.03,4.5,6.5249999999999995
377,2026-04-16,15,2,4,9,2,0.0,4.3,7.5249999999999995
378,2026-06-30,79,1,3,9,4,0.05,8.6,15.049999999999999
379,2026-01-24,7,2,4,23,3,0.01,46.769999999999996,81.8475
380,2026-01-30,11,1,1,22,1,0.01,7.45,13.0375
381,2026-08-18,67,3,2,31,2,0.01,20.5,35.875
382,2026-08-27,44,3,2,13,3,0.01,16.259999999999998,28.455
383,2026-08-17,52,2,1,3,4,0.05,300.96,436.39199999999994
384,2026-04-04,90,1,2,20,3,0.0,14.25,24.9375
385,2026-08-25,7,2,2,15,2,0.05,23.16,40.53
386,2026-03-19,69,2,4,4,1,0.04,95.35,138.2575
387,2026-08-12,42,2,2,34,1,0.04,9.89,17.3075
388,2026-06-18,40,2,4,28,2,0.02,15.04,26.32
389,2026-01-21,10,2,2,8,2,0.04,4.5,6.5249999999999995
390,2026-05-30,44,2,1,31,2,0.0,20.5,35.875
391,2026-06-12,17,1,1,18,4,0.02,309.28,541.24
392,2026-07-02,54,2,3,24,1,0.0,12.45,21.787499999999998
393,2026-07-28,36,3,3,12,4,0.03,26.32,46.06
394,2026-02-06,10,2,3,27,2,0.01,15.98,27.965
395,2026-04-29,35,3,2,8,1,0.01,2.25,3.2624999999999997
396,2026-05-12,54,2,1,13,4,0.04,21.68,37.94
397,2026-07-17,35,3,4,11,1,0.03,5.75,10.0625
398,2026-03-19,61,1,1,22,1,0.02,7.45,13.0375
399,2026-04-08,24,1,2,22,1,0.01,7.45,13.0375
400,2026-05-14,20,2,1,24,1,0.02,12.45,21.787499999999998
401,2026-01-08,58,2,1,13,4,0.02,21.68,37.94
402,2026-03-12,38,1,2,16,1,0.03,54.15,94.7625
403,2026-02-23,50,1,4,30,2,0.04,32.9,57.574999999999996
404,2026-03-02,34,2,1,15,2,0.0,23.16,40.53
405,2026-06-29,98,2,3,20,4,0.01,19.0,33.25
406,2026-08-13,88,2,2,24,4,0.01,49.8,87.14999999999999
407,2026-08-05,38,1,4,19,1,0.0,4.54,7.945
408,2026-08-14,23,1,2,18,1,0.03,77.32,135.31
409,2026-08-06,22,1,4,12,2,0.04,13.16,23.03
410,2026-04-30,15,1,2,8,2,0.04,4.5,6.5249999999999995
411,2026-06-02,5,3,4,2,2,0.03,136.3,197.63500000000002
412,2026-04-30,45,2,3,9,1,0.01,2.15,3.7624999999999997
413,2026-08-31,42,2,1,23,1,0.02,15.59,27.2825
414,2026-06-25,51,2,4,9,1,0.01,2.15,3.7624999999999997
415,2026-02-06,62,3,1,14,3,0.01,25.349999999999998,44.3625
416,2026-07-29,3,2,1,22,2,0.02,14.9,26.075
417,2026-03-28,29,1,2,20,1,0.0,4.75,8.3125
418,2026-08-01,72,1,2,8,1,0.02,2.25,3.2624999999999997
419,2026-02-19,12,2,2,15,1,0.0,11.58,20.265
420,2026-04-23,37,3,2,15,3,0.01,34.74,60.795
421,2026-05-06,55,2,3,24,1,0.01,12.45,21.787499999999998
422,2026-07-24,39,3,2,4,1,0.04,95.35,138.2575
423,2026-03-14,76,3,3,30,1,0.04,16.45,28.787499999999998
424,2026-02-14,75,1,3,28,1,0.04,7.52,13.16
