dataCompleta,dia,mes,nomeMes,ano,diaSemana
2026-06-07,7,6,Junho,2026,Domingo
2026-06-08,8,6,Junho,2026,Segunda
2026-06-09,9,6,Junho,2026,Terça
2026-06-10,10,6,Junho,2026,Quarta
2026-06-11,11,6,Junho,2026,Quinta
2026-06-12,12,6,Junho,2026,Sexta
2026-06-13,13,6,Junho,2026,Sábado
2026-06-14,14,6,Junho,2026,Domingo
2026-06-15,15,6,Junho,2026,Segunda
2026-06-16,16,6,Junho,2026,Terça
2026-06-17,17,6,Junho,2026,Quarta
2026-06-18,18,6,Junho,2026,Quinta
2026-06-19,19,6,Junho,2026,Sexta
2026-06-20,20,6,Junho,2026,Sábado
2026-06-21,21,6,Junho,2026,Domingo
2026-06-22,22,6,Junho,2026,Segunda
2026-06-23,23,6,Junho,2026,Terça
2026-06-24,24,6,Junho,2026,Quarta
2026-06-25,25,6,Junho,2026,Quinta
2026-06-26,26,6,Junho,2026,Sexta
2026-06-27,27,6,Junho,2026,Sábado
2026-06-28,28,6,Junho,2026,Domingo
2026-06-29,29,6,Junho,2026,Segunda
2026-06-30,30,6,Junho,2026,Terça
2026-07-01,1,7,Julho,2026,Quarta
2026-07-02,2,7,Julho,2026,Quinta
2026-07-03,3,7,Julho,2026,Sexta
2026-07-04,4,7,Julho,2026,Sábado
2026-07-05,5,7,Julho,2026,Domingo
2026-07-06,6,7,Julho,2026,Segunda
2026-07-07,7,7,Julho,2026,Terça
2026-07-08,8,7,Julho,2026,Quarta
2026-07-09,9,7,Julho,2026,Quinta
2026-07-10,10,7,Julho,2026,Sexta
2026-07-11,11,7,Julho,2026,Sábado
2026-07-12,12,7,Julho,2026,Domingo
2026-07-13,13,7,Julho,2026,Segunda
2026-07-14,14,7,Julho,2026,Terça
2026-07-15,15,7,Julho,2026,Quarta
2026-07-16,16,7,Julho,2026,Quinta
2026-07-17,17,7,Julho,2026,Sexta
2026-07-18,18,7,Julho,2026,Sábado
2026-07-19,19,7,Julho,2026,Domingo
2026-07-20,20,7,Julho,2026,Segunda
2026-07-21,21,7,Julho,2026,Terça
2026-07-22,22,7,Julho,2026,Quarta
2026-07-23,23,7,Julho,2026,Quinta
2026-07-24,24,7,Julho,2026,Sexta
2026-07-25,25,7,Julho,2026,Sábado
2026-07-26,26,7,Julho,2026,Domingo
2026-07-27,27,7,Julho,2026,Segunda
2026-07-28,28,7,Julho,2026,Terça
2026-07-29,29,7,Julho,2026,Quarta
2026-07-30,30,7,Julho,2026,Quinta
2026-07-31,31,7,Julho,2026,Sexta
2026-08-01,1,8,Agosto,2026,Sábado
2026-08-02,2,8,Agosto,2026,Domingo
2026-08-03,3,8,Agosto,2026,Segunda
2026-08-04,4,8,Agosto,2026,Terça
2026-08-05,5,8,Agosto,2026,Quarta
2026-08-06,6,8,Agosto,2026,Quinta
2026-08-07,7,8,Agosto,2026,Sexta
2026-08-08,8,8,Agosto,2026,Sábado
2026-08-09,9,8,Agosto,2026,Domingo
2026-08-10,10,8,Agosto,2026,Segunda
2026-08-11,11,8,Agosto,2026,Terça
2026-08-12,12,8,Agosto,2026,Quarta
2026-08-13,13,8,Agosto,2026,Quinta
2026-08-14,14,8,Agosto,2026,Sexta
2026-08-15,15,8,Agosto,2026,Sábado
2026-08-16,16,8,Agosto,2026,Domingo
2026-08-17,17,8,Agosto,2026,Segunda
2026-08-18,18,8,Agosto,2026,Terça
2026-08-19,19,8,Agosto,2026,Quarta
2026-08-20,20,8,Agosto,2026,Quinta
2026-08-21,21,8,Agosto,2026,Sexta
2026-08-22,22,8,Agosto,2026,Sábado
2026-08-23,23,8,Agosto,2026,Domingo
2026-08-24,24,8,Agosto,2026,Segunda
2026-08-25,25,8,Agosto,2026,Terça
2026-08-26,26,8,Agosto,2026,Quarta
2026-08-27,27,8,Agosto,2026,Quinta
2026-08-28,28,8,Agosto,2026,Sexta
2026-08-29,29,8,Agosto,2026,Sábado
2026-08-30,30,8,Agosto,2026,Domingo
2026-08-31,31,8,Agosto,2026,Segunda
